total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
8.77,2.00,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
12.56,2.50,Female,Yes,Fri,Lunch,2
18.23,2.00,Male,No,Sat,Dinner,3
22.45,3.00,Female,No,Sat,Dinner,2
19.80,2.20,Male,Yes,Fri,Lunch,4
17.32,2.68,Female,No,Thur,Lunch,2
13.37,2.00,Male,No,Thur,Lunch,2
29.03,5.92,Female,Yes,Sun,Dinner,3
11.24,1.50,Male,No,Sat,Lunch,2
20.65,3.35,Female,No,Sun,Dinner,2
15.89,2.10,Male,Yes,Fri,Lunch,2
